time,joint1,joint2,joint3,joint4,joint5,joint6
1749190001.9697254,0.0,0.0,-0.0,0.0,0.0,0.0
1749190002.4309773,0.0,0.0,-0.0,0.0,0.0,0.0
1749190002.8929863,0.0,0.0,-0.0,0.0,0.0,0.0
1749190003.4275582,0.0,0.0,-0.0,0.0,0.0,0.0
1749190003.897543,0.0,0.0,-0.0,0.0,0.0,0.0
1749190004.3873034,0.0,0.0,-0.0,0.0,0.0,0.0
1749190004.925955,0.0,0.0,-0.0,0.0,0.0,0.0
1749190005.4342287,0.0,0.0,-0.0,0.0,0.0,0.0
1749190005.92158,0.0,0.0,-0.0,0.0,0.0,0.0
1749190006.44947,0.0,0.0,-0.0,0.0,0.0,0.0
1749190006.9415689,0.0,0.0,-0.0,0.0,0.0,0.0
1749190007.3966224,0.0,0.0,-0.0,0.0,0.0,0.0
1749190007.858065,0.0,0.0,-0.0,0.0,0.0,0.0
1749190008.38717,0.0,0.0,-0.0,0.0,0.0,0.0
1749190008.8469315,0.0,0.0,-0.0,0.0,0.0,0.0
1749190009.3035908,0.0,0.0,-0.0,0.0,0.0,0.0
1749190009.8333936,0.0,0.0,-0.0,0.0,0.0,0.0
1749190010.299925,0.0,0.0,-0.0,0.0,0.0,0.0
1749190010.7588806,0.0,0.0,-0.0,0.0,0.0,0.0
1749190011.2165914,0.0,0.0,-0.0,0.0,0.0,0.0
1749190011.7426603,0.0,0.0,-0.0,0.0,0.0,0.0
1749190012.262901,0.0,0.0,-0.0,0.0,0.0,0.0
1749190012.7396965,0.0,0.0,-0.0,0.0,0.0,0.0
1749190013.2829127,0.0,0.0,-0.0,0.0,0.0,0.0
1749190013.7551377,0.0,0.0,-0.0,0.0,0.0,0.0
1749190014.231748,0.0,0.0,-0.0,0.0,0.0,0.0
1749190014.776387,0.0,0.0,-0.0,0.0,0.0,0.0
1749190015.2722142,0.0,0.0,-0.0,0.0,0.0,0.0
1749190015.7470822,0.0,0.0,-0.0,0.0,0.0,0.0
1749190016.2212794,0.0,0.0,-0.0,0.0,0.0,0.0
1749190016.76436,0.0,0.0,-0.0,0.0,0.0,0.0
1749190017.238129,0.0,0.0,-0.0,0.0,0.0,0.0
